Ministère du Développement durable, de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2015-05-03, préliminaires par la suite
Station:        021407         Sainte-Anne - à 9,7 km en amont du pont-route 132
Bassin versant: 772 km²        Régime: Naturel
Coordonnées:    (NAD83) 49° 2' 37" // -66° 28' 33"
Date de création du fichier: 2016-02-14 00:00
Particularité(s):
-
-
-
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
MC: La donnée représente un débit moyen converti.
MJ: La donnée est une moyenne journalière.
P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
S:  La donnée est saisie manuellement.
Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.
Station        Date                Débit (m³/s)   Remarque
021407         1974/05/26          65.70          MC
021407         1974/05/27          65.10          MC
021407         1974/05/28          71.60          MC
021407         1974/05/29          70.50          MC
021407         1974/05/30          72.50          MC
021407         1974/05/31          69.90          MC
021407         1974/06/01          113.0          MC
021407         1974/06/02          151.0          MC
021407         1974/06/03          156.0          MC
021407         1974/06/04          162.0          MC
021407         1974/06/05          179.0          MC
021407         1974/06/06          160.0          MC
021407         1974/06/07          123.0          MC
021407         1974/06/08          124.0          MC
021407         1974/06/09          167.0          MC
021407         1974/06/10          147.0          MC
021407         1974/06/11          130.0          MC
021407         1974/06/12          125.0          MC
021407         1974/06/13          108.0          MC
021407         1974/06/14          98.80          MC
021407         1974/06/15          92.60          MC
021407         1974/06/16          89.50          MC
021407         1974/06/17          90.00          MC
021407         1974/06/18          119.0          MC
021407         1974/06/19          121.0          MC
021407         1974/06/20          94.30          MC
021407         1974/06/21          87.50          MC
021407         1974/06/22          76.70          MC
021407         1974/06/23          60.90          MC
021407         1974/06/24          49.60          MC
021407         1974/06/25          42.20          MC
021407         1974/06/26          37.70          MC
021407         1974/06/27          33.10          MC
021407         1974/06/28          30.00          MC
021407         1974/06/29          28.30          MC
021407         1974/06/30          26.40          MC
021407         1974/07/01          25.30          MC
021407         1974/07/02          21.70          MC
021407         1974/07/03          23.50          J
021407         1974/07/04          21.40          MC
021407         1974/07/05          17.30          MC
021407         1974/07/06          16.00          MC
021407         1974/07/07          16.20          MC
021407         1974/07/08          14.50          MC
021407         1974/07/09          13.20          MC
021407         1974/07/10          12.60          MC
021407         1974/07/11          11.90          MC
021407         1974/07/12          11.60          MC
021407         1974/07/13          10.90          MC
021407         1974/07/14          10.40          MC
021407         1974/07/15          12.00          MC
021407         1974/07/16          12.90          MC
021407         1974/07/17          11.60          MC
021407         1974/07/18          10.80          MC
021407         1974/07/19          13.80          MC
021407         1974/07/20          28.60          MC
021407         1974/07/21          23.50          MC
021407         1974/07/22          18.50          MC
021407         1974/07/23          15.90          MC
021407         1974/07/24          14.50          MC
021407         1974/07/25          13.80          MC
021407         1974/07/26          14.80          MC
021407         1974/07/27          13.80          MC
021407         1974/07/28          12.70          MC
021407         1974/07/29          12.00          MC
021407         1974/07/30          11.10          MC
021407         1974/07/31          11.00          MC
021407         1974/08/01          11.10          MC
021407         1974/08/02          10.80          MC
021407         1974/08/03          10.10          MC
021407         1974/08/04          9.710          MC
021407         1974/08/05          10.30          MC
021407         1974/08/06          11.00          MC
021407         1974/08/07          9.970          MC
021407         1974/08/08          9.680          MC
021407         1974/08/09          9.680          J
021407         1974/08/10          9.150          MC
021407         1974/08/11          8.890          MC
021407         1974/08/12          8.550          MC
021407         1974/08/13          8.270          MC
021407         1974/08/14          7.990          MC
021407         1974/08/15          7.760          MC
021407         1974/08/16          7.730          MC
021407         1974/08/17          7.670          MC
021407         1974/08/18          7.760          MC
021407         1974/08/19          8.180          MC
021407         1974/08/20          7.730          MC
021407         1974/08/21          7.420          MC
021407         1974/08/22          7.250          MC
021407         1974/08/23          7.140          MC
021407         1974/08/24          8.300          MC
021407         1974/08/25          10.60          MC
021407         1974/08/26          10.00          MC
021407         1974/08/27          9.120          MC
021407         1974/08/28          10.80          MC
021407         1974/08/29          10.40          MC
021407         1974/08/30          9.460          MC
021407         1974/08/31          9.090          MC
021407         1974/09/01          8.780          MC
021407         1974/09/02          8.300          MC
021407         1974/09/03          7.930          MC
021407         1974/09/04          7.840          MC
021407         1974/09/05          7.620          MC
021407         1974/09/06          7.360          MC
021407         1974/09/07          7.330          MC
021407         1974/09/08          7.330          MC
021407         1974/09/09          7.250          MC
021407         1974/09/10          7.020          MC
021407         1974/09/11          6.880          MC
021407         1974/09/12          7.420          MC
021407         1974/09/13          13.10          MC
021407         1974/09/14          15.00          MC
021407         1974/09/15          13.50          MC
021407         1974/09/16          11.40          MC
021407         1974/09/17          10.40          MC
021407         1974/09/18          10.30          MC
021407         1974/09/19          9.800          MC
021407         1974/09/20          9.490          MC
021407         1974/09/21          9.460          MC
021407         1974/09/22          11.50          MC
021407         1974/09/23          14.30          J
021407         1974/09/24          11.70          MC
021407         1974/09/25          10.60          MC
021407         1974/09/26          10.30          MC
021407         1974/09/27          10.50          MC
021407         1974/09/28          10.00          MC
021407         1974/09/29          10.10          MC
021407         1974/09/30          18.10          MC
021407         1974/10/01          23.90          MC
021407         1974/10/02          17.50          MC
021407         1974/10/03          19.70          MC
021407         1974/10/04          41.90          MC
021407         1974/10/05          37.40          MC
021407         1974/10/06          32.60          MC
021407         1974/10/07          30.60          MC
021407         1974/10/08          26.60          MC
021407         1974/10/09          21.90          MC
